# Valid estimates generated by sparse beam search plus MITM verification
# Format required by the problem statement: @(r, u, v, VE, VT)
@(4, 0x000000A0, 0x44404400, -0.004760742187500, -0.004760742187500)
@(4, 0x00A00000, 0x44004440, -0.004760742187500, -0.004760742187500)
@(4, 0x00000003, 0x1C01C10D, 0.004646301269531, 0.004646301269531)
@(4, 0x0000000C, 0x88C4680E, -0.004455566406250, -0.004455566406250)
@(4, 0x0000000C, 0x8AC4480C, -0.004455566406250, -0.004455566406250)
@(4, 0x000C0000, 0x480C8AC4, -0.004455566406250, -0.004455566406250)
@(4, 0x000C0000, 0x680E88C4, -0.004455566406250, -0.004455566406250)
@(4, 0x00000001, 0x22022200, -0.004394531250000, -0.004394531250000)
@(4, 0x00000001, 0x2A02A208, -0.004394531250000, -0.004394531250000)
@(4, 0x00000001, 0xA20A2A08, -0.004394531250000, -0.004394531250000)
@(4, 0x00000003, 0x2202A208, 0.004394531250000, 0.004394531250000)
@(4, 0x00000003, 0x2A022200, 0.004394531250000, 0.004394531250000)
@(4, 0x00000003, 0x9409490D, -0.004394531250000, -0.004394531250000)
@(4, 0x00000003, 0xA20AAA00, 0.004394531250000, 0.004394531250000)
@(4, 0x00000010, 0x2220AA00, -0.004394531250000, -0.004394531250000)
@(4, 0x00000010, 0x2AA8A208, -0.004394531250000, -0.004394531250000)
@(4, 0x00000010, 0xA228A208, -0.004394531250000, -0.004394531250000)
@(4, 0x00000030, 0x2220A208, 0.004394531250000, 0.004394531250000)
@(4, 0x00000030, 0x2AA8AA00, 0.004394531250000, 0.004394531250000)
@(4, 0x00000030, 0xA228AA00, 0.004394531250000, 0.004394531250000)
@(4, 0x000000D0, 0x4440E40A, -0.004394531250000, -0.004394531250000)
@(4, 0x00001000, 0x02222A22, 0.004394531250000, 0.004394531250000)
@(4, 0x00001000, 0x02222A2A, 0.004394531250000, 0.004394531250000)
@(4, 0x00001000, 0x0222A2A2, 0.004394531250000, 0.004394531250000)
@(4, 0x00001000, 0x0222A2AA, 0.004394531250000, 0.004394531250000)
@(4, 0x00003000, 0x022222A2, -0.004394531250000, -0.004394531250000)
@(4, 0x00003000, 0x022222AA, -0.004394531250000, -0.004394531250000)
@(4, 0x00010000, 0x22002202, -0.004394531250000, -0.004394531250000)
@(4, 0x00010000, 0x2A08A20A, -0.004394531250000, -0.004394531250000)
@(4, 0x00010000, 0xA2082A02, -0.004394531250000, -0.004394531250000)
@(4, 0x00030000, 0x22002A02, 0.004394531250000, 0.004394531250000)
@(4, 0x00030000, 0x2A08AA0A, 0.004394531250000, 0.004394531250000)
@(4, 0x00030000, 0x490D9409, -0.004394531250000, -0.004394531250000)
@(4, 0x00030000, 0xA2082202, 0.004394531250000, 0.004394531250000)
@(4, 0x00100000, 0xA2082AA8, -0.004394531250000, -0.004394531250000)
@(4, 0x00100000, 0xA208A228, -0.004394531250000, -0.004394531250000)
@(4, 0x00300000, 0xA2082220, 0.004394531250000, 0.004394531250000)
@(4, 0x00300000, 0xA208AAA0, 0.004394531250000, 0.004394531250000)
@(4, 0x00D00000, 0xE40A4440, -0.004394531250000, -0.004394531250000)
@(4, 0x10000000, 0x22220AAA, 0.004394531250000, 0.004394531250000)
@(4, 0x10000000, 0x222A0AAA, 0.004394531250000, 0.004394531250000)
@(4, 0x10000000, 0x2A220222, 0.004394531250000, 0.004394531250000)
@(4, 0x10000000, 0x2A2A0222, 0.004394531250000, 0.004394531250000)
@(4, 0x30000000, 0x22A20222, -0.004394531250000, -0.004394531250000)
@(4, 0x30000000, 0x22AA0222, -0.004394531250000, -0.004394531250000)
@(4, 0x30000000, 0x2AA20AAA, -0.004394531250000, -0.004394531250000)
@(4, 0x30000000, 0x2AAA0AAA, -0.004394531250000, -0.004394531250000)
@(4, 0x00000008, 0x44044E0A, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0x4404E40A, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0x4C04CE02, -0.004272460937500, -0.004272460937500)
@(4, 0x00000008, 0x4E044400, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0x4E04EE00, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0xE40E4400, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0xE40EEE00, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0xEC0EC408, -0.004272460937500, -0.004272460937500)
@(4, 0x00000008, 0xEE0E4E0A, 0.004272460937500, 0.004272460937500)
@(4, 0x00000008, 0xEE0EE40A, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0x44004E04, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0x4400E40E, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0x4E0A4404, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0x4E0AEE0E, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0xC408EC0E, -0.004272460937500, -0.004272460937500)
@(4, 0x00080000, 0xCE024C04, -0.004272460937500, -0.004272460937500)
@(4, 0x00080000, 0xE40A4404, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0xE40AEE0E, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0xEE004E04, 0.004272460937500, 0.004272460937500)
@(4, 0x00080000, 0xEE00E40E, 0.004272460937500, 0.004272460937500)
@(4, 0x00000003, 0x1E01E10F, -0.004188537597656, -0.004188537597656)
@(4, 0x00000007, 0x1C01C10D, 0.004066467285156, 0.004066467285156)
@(4, 0x00000006, 0x41041405, -0.004028320312500, -0.004028320312500)
@(4, 0x0000000A, 0x44044E0A, 0.004028320312500, 0.004028320312500)
@(4, 0x0000000A, 0x4404E40A, 0.004028320312500, 0.004028320312500)
@(4, 0x0000000A, 0x4C04CE02, -0.004028320312500, -0.004028320312500)
@(4, 0x0000000A, 0x4E044400, 0.004028320312500, 0.004028320312500)
@(4, 0x0000000A, 0x4E04EE00, 0.004028320312500, 0.004028320312500)
@(4, 0x0000000A, 0xE40E4400, 0.004028320312500, 0.004028320312500)
@(4, 0x0000000A, 0xE40EEE00, 0.004028320312500, 0.004028320312500)
@(4, 0x0000000A, 0xEC0EC408, -0.004028320312500, -0.004028320312500)
@(4, 0x0000000A, 0xEE0E4E0A, 0.004028320312500, 0.004028320312500)
@(4, 0x00060000, 0x14054104, -0.004028320312500, -0.004028320312500)
@(4, 0x000A0000, 0x44004E04, 0.004028320312500, 0.004028320312500)
@(4, 0x000A0000, 0x4400E40E, 0.004028320312500, 0.004028320312500)
@(4, 0x000A0000, 0x4E0A4404, 0.004028320312500, 0.004028320312500)
@(4, 0x000A0000, 0x4E0AEE0E, 0.004028320312500, 0.004028320312500)
@(4, 0x000A0000, 0xC408EC0E, -0.004028320312500, -0.004028320312500)
@(4, 0x000A0000, 0xCE024C04, -0.004028320312500, -0.004028320312500)
@(4, 0x000A0000, 0xE40A4404, 0.004028320312500, 0.004028320312500)
@(4, 0x000A0000, 0xE40AEE0E, 0.004028320312500, 0.004028320312500)
@(4, 0x000A0000, 0xEE004E04, 0.004028320312500, 0.004028320312500)
@(4, 0x00000003, 0x14014105, -0.003974914550781, -0.003974914550781)
@(4, 0x00030000, 0x41051401, -0.003974914550781, -0.003974914550781)
@(4, 0x00000001, 0x22023201, 0.003906250000000, 0.003906250000000)
@(4, 0x00000001, 0x23022200, 0.003906250000000, 0.003906250000000)
@(4, 0x00000001, 0x23023201, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0x2302A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000001, 0x2A023201, 0.003906250000000, 0.003906250000000)
@(4, 0x00000001, 0x8808C804, -0.003906250000000, -0.003906250000000)
@(4, 0x00000001, 0x8C088800, -0.003906250000000, -0.003906250000000)
@(4, 0x00000002, 0x2202A208, -0.003906250000000, -0.003906250000000)
@(4, 0x00000002, 0x2A022200, -0.003906250000000, -0.003906250000000)
@(4, 0x00000002, 0xA20AAA00, -0.003906250000000, -0.003906250000000)
@(4, 0x00000003, 0x14014501, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0x22022200, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0x22023201, -0.003906250000000, -0.003906250000000)
@(4, 0x00000004, 0x2202A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000004, 0x23022200, -0.003906250000000, -0.003906250000000)
@(4, 0x00000004, 0x23023201, 0.003906250000000, 0.003906250000000)
@(4, 0x00000006, 0x22022200, 0.003906250000000, 0.003906250000000)
@(4, 0x00000006, 0x22023201, -0.003906250000000, -0.003906250000000)
@(4, 0x00000006, 0x2202A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000006, 0x23022200, -0.003906250000000, -0.003906250000000)
@(4, 0x00000006, 0x23023201, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x14014501, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x1401490D, 0.003906250000000, 0.003906250000000)
@(4, 0x00000007, 0x1401E50B, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x1401E907, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x1C01C509, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x1C01C905, -0.003906250000000, -0.003906250000000)
@(4, 0x00000007, 0x1E014501, -0.003906250000000, -0.003906250000000)
@(4, 0x00000009, 0x22022200, 0.003906250000000, 0.003906250000000)
@(4, 0x00000009, 0x2A02A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000009, 0xA20A2A08, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000B, 0x4640A40E, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000B, 0x4640A60C, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000B, 0x4E402406, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000B, 0x4E402604, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000B, 0x6642A40E, 0.003906250000000, 0.003906250000000)
@(4, 0x0000000B, 0x6642A60C, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x2220A309, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x2331A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x2331A309, -0.003906250000000, -0.003906250000000)
@(4, 0x00000010, 0x2331AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x2AA8A309, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x3221A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000010, 0x3221A309, -0.003906250000000, -0.003906250000000)
@(4, 0x00000040, 0x2220A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0x2220A309, -0.003906250000000, -0.003906250000000)
@(4, 0x00000040, 0x2220AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0x2331A208, -0.003906250000000, -0.003906250000000)
@(4, 0x00000040, 0x2331A309, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0x2331AA00, -0.003906250000000, -0.003906250000000)
@(4, 0x00000040, 0x2AA8A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0x2AA8A309, -0.003906250000000, -0.003906250000000)
@(4, 0x00000040, 0x2AA8AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000040, 0x3221A208, -0.003906250000000, -0.003906250000000)
@(4, 0x00000060, 0x2220A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000060, 0x2220A309, -0.003906250000000, -0.003906250000000)
@(4, 0x00000060, 0x2220AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000060, 0x2331A208, -0.003906250000000, -0.003906250000000)
@(4, 0x00000060, 0x2331A309, 0.003906250000000, 0.003906250000000)
@(4, 0x00000060, 0x2331AA00, -0.003906250000000, -0.003906250000000)
@(4, 0x00000060, 0x2AA8A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000060, 0x2AA8A309, -0.003906250000000, -0.003906250000000)
@(4, 0x00000060, 0x2AA8AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000060, 0x3221A208, -0.003906250000000, -0.003906250000000)
@(4, 0x00000090, 0x2220AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x00000090, 0x2AA8A208, 0.003906250000000, 0.003906250000000)
@(4, 0x00000090, 0xA228A208, 0.003906250000000, 0.003906250000000)
@(4, 0x000000D0, 0x2220AA00, 0.003906250000000, 0.003906250000000)
@(4, 0x000000D0, 0x2AA8A208, 0.003906250000000, 0.003906250000000)
@(4, 0x000000D0, 0x4EEAEE00, -0.003906250000000, -0.003906250000000)
@(4, 0x000000D0, 0xA228A208, 0.003906250000000, 0.003906250000000)
@(4, 0x000000D0, 0xE44AEE00, -0.003906250000000, -0.003906250000000)
@(4, 0x000000D0, 0xEEE0E40A, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x02222B33, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x02222B3B, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x022232A3, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x022232AB, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x02223A23, -0.003906250000000, -0.003906250000000)
@(4, 0x00001000, 0x02223A2B, -0.003906250000000, -0.003906250000000)
@(4, 0x00006000, 0x022222A2, -0.003906250000000, -0.003906250000000)
@(4, 0x00006000, 0x022222AA, -0.003906250000000, -0.003906250000000)
@(4, 0x00006000, 0x02222A22, -0.003906250000000, -0.003906250000000)
@(4, 0x00006000, 0x02222A2A, -0.003906250000000, -0.003906250000000)
@(4, 0x00006000, 0x02222B33, 0.003906250000000, 0.003906250000000)
@(4, 0x00006000, 0x02222B3B, 0.003906250000000, 0.003906250000000)
@(4, 0x00006000, 0x022232A3, 0.003906250000000, 0.003906250000000)
@(4, 0x00006000, 0x022232AB, 0.003906250000000, 0.003906250000000)
@(4, 0x00006000, 0x02223A23, 0.003906250000000, 0.003906250000000)
@(4, 0x00006000, 0x02223A2B, 0.003906250000000, 0.003906250000000)
@(4, 0x00009000, 0x02222A22, -0.003906250000000, -0.003906250000000)
@(4, 0x00009000, 0x02222A2A, -0.003906250000000, -0.003906250000000)
@(4, 0x00009000, 0x0222A2A2, -0.003906250000000, -0.003906250000000)
@(4, 0x00009000, 0x0222A2AA, -0.003906250000000, -0.003906250000000)
@(4, 0x0000B000, 0x022223A2, -0.003906250000000, -0.003906250000000)
@(4, 0x0000B000, 0x022223AB, -0.003906250000000, -0.003906250000000)
@(4, 0x0000B000, 0x022227A2, 0.003906250000000, 0.003906250000000)
@(4, 0x0000B000, 0x022227AF, 0.003906250000000, 0.003906250000000)
@(4, 0x0000B000, 0x02222AAB, 0.003906250000000, 0.003906250000000)
@(4, 0x0000B000, 0x02222AAF, -0.003906250000000, -0.003906250000000)
@(4, 0x0000B000, 0x02222B33, -0.003906250000000, -0.003906250000000)
@(4, 0x0000B000, 0x02222B3B, -0.003906250000000, -0.003906250000000)
@(4, 0x0000C000, 0x08881881, -0.003906250000000, -0.003906250000000)
@(4, 0x0000D000, 0x02222A22, -0.003906250000000, -0.003906250000000)
@(4, 0x0000D000, 0x02222A2A, -0.003906250000000, -0.003906250000000)
@(4, 0x0000D000, 0x0222A2A2, -0.003906250000000, -0.003906250000000)
@(4, 0x0000D000, 0x0222A2AA, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0x22002302, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x2A08A30A, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x32012202, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x32012302, -0.003906250000000, -0.003906250000000)
@(4, 0x00010000, 0x32012A02, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x3A09A20A, 0.003906250000000, 0.003906250000000)
@(4, 0x00010000, 0x3A09A30A, -0.003906250000000, -0.003906250000000)
@(4, 0x00020000, 0x22002A02, -0.003906250000000, -0.003906250000000)
@(4, 0x00020000, 0x2A08AA0A, -0.003906250000000, -0.003906250000000)
@(4, 0x00020000, 0xA2082202, -0.003906250000000, -0.003906250000000)
@(4, 0x00030000, 0x41055405, 0.003906250000000, 0.003906250000000)
